case,s-corona,r-corona,r,s,3 discs density,density,type,minpoly r,minpoly s,1-discs,r-discs,s-discs,111,11r,11s,1rr,1rs,1ss,rrr,rrs,rss,sss,minpoly density
122,1rrr,1srrsrs,0.51366,0.245949,0.923564,0.923564,H,r^8 - 444*r^7 + 2820*r^6 - 1156*r^5 - 266*r^4 + 60*r^3 + 4*r^2 + 4*r + 1,s^8 - 180*s^6 - 388*s^5 - 206*s^4 - 24*s^3 - 8*s^2 + 4*s + 1,1,6,6,0,0,0,0,12,0,2,12,0,0,32342208768*x^8 + 939420094464*x^7 + 4182508313856*x^6 + 3299866131456*x^5 - 9180951297696*x^4 - 10219597030656*x^3 + 3815675860560*x^2 - 74176211136*x + 10136337409
123,1rrrr,11rsrs,0.733046,0.54548,0.909455,0.909455,H,8*r^11 + 67*r^10 + 160*r^9 + 40*r^8 - 104*r^7 + 78*r^6 - 256*r^5 + 496*r^3 - 633*r^2 + 336*r - 64,s^11 + 39*s^10 + 164*s^9 + 540*s^8 + 1390*s^7 + 2450*s^6 + 2884*s^5 + 1644*s^4 + 89*s^3 - 769*s^2 - 176*s - 64,2,4,2,0,4,0,2,4,0,0,6,0,0,1048576*x^11 - 356364288*x^10 - 2378152192*x^9 - 5665707039*x^8 - 3014140736*x^7 - 17940682128*x^6 + 14077031360*x^5 - 24832738808*x^4 + 5784030752*x^3 + 13834151760*x^2 - 13751041024*x + 2838263888
124,1rrrr,1rrsrs,0.565683,0.440243,0.911989,0.911989,H,r^10 - 286*r^9 + 3905*r^8 - 4808*r^7 + 3154*r^6 - 1140*r^5 + 378*r^4 - 72*r^3 - 243*r^2 + 162*r - 27,13*s^10 - 286*s^9 + 21*s^8 + 184*s^7 + 234*s^6 + 140*s^5 - 62*s^4 + 1848*s^3 - 1239*s^2 + 162*s + 9,1,6,3,0,0,0,3,6,0,2,9,0,0,21824687547*x^10 + 221107090932*x^9 - 26335327105773*x^8 + 106134021066456*x^7 + 9495307960200*x^6 - 506658652866720*x^5 + 458320686749721*x^4 + 288682220976300*x^3 - 332059544977011*x^2 + 557587377329952*x - 143177099808397
125,1rrs,11srsrss,0.610609,0.196786,0.925399,0.925399,L,32*r^5 - r^4 + 16*r^3 - 14*r^2 - 1,s^5 - 4*s^4 + 46*s^3 + 8*s^2 + 17*s - 4,1,2,4,0,2,0,0,4,2,0,4,2,0,26843545600*x^10 + 897982488320*x^8 + 5811126579748096*x^6 + 1914703127895584*x^4 + 648004187112848*x^2 - 74437086502249
126,1rrs,1srsrrss,0.423023,0.148125,0.937034,0.937034,H,9*r^6 - 666*r^5 + 207*r^4 - 108*r^3 + 39*r^2 + 6*r + 1,9*s^6 + 36*s^5 - 18*s^4 - 216*s^3 + 93*s^2 - 36*s + 4,1,6,12,0,0,0,0,12,6,2,12,6,0,52478781362176*x^12 - 41297755535493120*x^10 + 37426460167892408064*x^8 - 17907601352352188446464*x^6 - 3531913665597563826960*x^4 - 60410346829715619144*x^2 + 45933939801851320521
127,1rrsr,11srss,0.591038,0.426704,0.913218,0.913218,L,8*r^5 - 4*r^4 + 16*r^3 - 17*r^2 + 6*r - 1,s^5 + 2*s^4 + 4*s^3 + s^2 + s - 1,1,2,2,0,2,0,0,4,0,0,2,2,0,206848*x^5 + 5120*x^4 + 42912*x^3 - 10836*x^2 + 1640*x - 1081
128,1rrsr,1srrss,0.396019,0.309139,0.9198,0.919799,H,r^8 - 180*r^7 + 708*r^6 - 860*r^5 - 458*r^4 + 276*r^3 + 4*r^2 - 4*r + 1,s^8 - 8*s^7 - 92*s^6 - 264*s^5 - 74*s^4 - 40*s^3 - 60*s^2 + 24*s + 1,1,6,6,0,0,0,0,12,0,2,6,6,0,16240787712*x^8 + 1344144181248*x^7 + 5222336848128*x^6 + 1443426227712*x^5 - 1383352949664*x^4 - 6072205590144*x^3 - 3149637322224*x^2 + 21027026208*x + 419751690241
129,1rs1s,111ss,0.476679,0.400692,0.918324,0.918324,H,391*r^8 + 1456*r^7 + 1132*r^6 - 800*r^5 - 494*r^4 + 496*r^3 - 132*r^2 - 1,361*s^8 + 64*s^7 + 212*s^6 + 384*s^5 + 94*s^4 - 64*s^3 - 28*s^2 + 1,2,2,4,0,4,0,0,4,6,0,0,2,0,26215269475*x^8 + 97432987878*x^7 + 152109897723*x^6 + 146428594228*x^5 + 69985332628*x^4 + 34029176000*x^3 + 5605647952*x^2 + 5649764928*x - 3917946176
130,1rs1s,11r1ss,0.737119,0.477507,0.912708,0.912708,L,16*r^16 - 416*r^15 + 952*r^14 + 8296*r^13 + 19329*r^12 + 46036*r^11 + 91114*r^10 + 93164*r^9 + 60351*r^8 + 24520*r^7 - 12252*r^6 - 34592*r^5 - 25457*r^4 - 7932*r^3 - 934*r^2 - 52*r + 1,6241*s^16 - 227304*s^15 + 91236*s^14 + 981536*s^13 + 702932*s^12 - 43880*s^11 + 523356*s^10 + 1302144*s^9 + 939830*s^8 + 173640*s^7 - 132068*s^6 - 93600*s^5 - 25964*s^4 - 3576*s^3 - 220*s^2 + 1,2,2,4,0,2,0,2,4,6,0,0,2,0,2398141696*x^16 - 10221832192*x^15 - 6819761462240*x^14 - 147408025935744*x^13 - 558111796052139*x^12 - 2235285937347152*x^11 - 4685780844827784*x^10 - 10679990587008520*x^9 - 13545211363167976*x^8 - 20727322181947416*x^7 - 13163958590228108*x^6 - 13242614268550688*x^5 + 456929092676752*x^4 - 2392521049401344*x^3 + 767604138238976*x^2 - 93865043722240*x + 57706854760448
131,1rs1s,1s1sss,0.54882,0.425011,0.917772,0.917772,L,r^4 - 6*r^3 - 3*r^2 - 4*r + 4,s^4 - 24*s^3 - 16*s^2 + 4*s + 3,1,1,4,0,0,0,0,4,6,0,0,2,0,1536*x^4 - 22912*x^3 + 27956*x^2 - 20192*x + 4073
